ERP CODE;;BARCODE;ITEM DESCRIPTION;LOT DESCRIPTION & COMMENTS;CATEGORY;QTY NOW AVAILABLE;PRICE;ITEM INFO;YOUR ORDER;PUBLISHER;WEIGHT (in Kg);VOLUME (in M3);Our margin;TOTAL PRICE;;
034733;B06Y3TVL8S;889698114875;POP! Star Wars: Greedo, Hammerhead, Walrus Man - 3-Pack NYCC 2017 Vinyl Figures;EN,FR,IT,DE,ES,PT,DK,SE,NL,PL,TR,GR,HU PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;71;25,36 _;;;FUNKO;0,376;0,003937;27,90 _;34,59 _;;
017897;B07H6QW58K;787926191790;HALO 5: GUARDIANS - DELUXE FIGURE - HELMETED SPARTAN LOCKE STATUE (25cm);EN,FR,ES PACK / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;67;22,70 _;;;MCFARLANE TOYS;0,734;0,006946;24,97 _;30,96 _;;
020639;B00XOUB3KY;039897908243;STAR WARS - THE FORCE AWAKENS POE DAMERON LARGE ACTION FIGURE (45cm);EN, FR PACK / CARTON HOLDER;TV & MOVIES;20;22,70 _;;;JAKKS PACIFIC;0,762;0,008394;24,97 _;30,96 _;;
013538;B00QI4LJRA; 617885008801;CALL OF DUTY ADVANCED WARFARE GIFT KIT (INC. KEYTAG, DOG TAG, BEANIE & WALLET);EN, FR, DE, IT, ES, PT, PACK / CARTON HOLDER;GAMING;2;22,70 _;;;GAYA ENTERTAINMENT;0,266;0,001788;24,97 _;30,96 _;;
025797;B01LXPWGWK;4260144325049;UNCHARTED 4: A THIEF'S END MAP MESSENGER BAG (GE3167);ENGLISH LABEL / PLASTIC BAG;GAMING;1;22,58 _;;;GAYA ENTERTAINMENT;0,800;0,006600;24,84 _;30,80 _;;
043540;B07D49MX3L;8718526093179;Deadpool - Icon Placement Printed Solid Backpack (BP510767DED);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;2;22,57 _;;;Bioworld Europe;0,500;0,005084;24,83 _;30,79 _;;
043541;B07D49HLXP;8718526093742;Deadpool - Icon Placement Printed Solid Messenger Bag (MB203201DED);ENGLISH LABEL / PLASTIC BAG;TV & MOVIES;4;22,57 _;;;Bioworld Europe;0,790;0,008100;24,83 _;30,79 _;;
039531;B07CGZJ3PR;4260570020945;God of War Serpent Logo Zip Black Hoodie - Size L (GE6262);ENGLISH LABEL / PLASTIC BAG;GAMING;2;22,57 _;;;GAYA ENTERTAINMENT;0,460;0,002610;24,83 _;30,79 _;;
039529;B07CGNQV8W;4260570020969;God of War Serpent Logo Zip Black Hoodie - Size S (GE6262);ENGLISH LABEL / PLASTIC BAG;GAMING;6;22,57 _;;;GAYA ENTERTAINMENT;0,460;0,002610;24,83 _;30,79 _;;
039530;B07CGHWVDS;4260570020952;God of War Serpent Logo Zip Black Hoodie - Size M (GE6262);ENGLISH LABEL / PLASTIC BAG;GAMING;5;22,57 _;;;GAYA ENTERTAINMENT;0,460;0,002610;24,83 _;30,79 _;;
040472;B07B62LM6P;889698325578;POP! Star Wars: Movie Moments - Clash on the Supremacy (Rey & Praetorian Guard) #264 Vinyl Bobble-Heads Figures;EN,FR,ES,DE,IT,PT,NL,DK,SE,RU / CARTON WINDOW BOX WITH PLASTIC FILM;TV & MOVIES;20;22,03 _;;;FUNKO;0,540;0,007025;24,23 _;30,05 _;;
